,description,question,choices,answer
494,crimson circles arranged in a grid,"['are there circles?', 'what shape is this?', 'are the circles arranged in a grid?', 'what are the circles doing?', 'are the circles crimson?', 'what color are the circles?', 'are the circles arranged in a grid?', 'are the circles arranged in a grid or in a line?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['arranged', 'scattered', 'piled', 'stacked'], ['yes', 'no'], ['crimson', 'red', 'blue', 'green'], ['yes', 'no'], ['grid', 'line', 'column', 'row']]","['yes', 'circles', 'yes', 'arranged', 'yes', 'crimson', 'yes', 'grid']"
495,a patterned ceramic tile with blue and white geometric shapes,"['is this a ceramic tile?', 'what type of material is this?', 'are there geometric shapes on the ceramic tile?', 'what type of shapes are on the ceramic tile?', 'are the geometric shapes blue and white?', 'what color are the geometric shapes?', 'is the ceramic tile patterned?']","[['yes', 'no'], ['ceramic tile', 'stone', 'wood', 'glass'], ['yes', 'no'], ['geometric shapes', 'abstract shapes', 'real shapes', 'non-real shapes'], ['yes', 'no'], ['blue and white', 'red and blue', 'blue and yellow', 'red and yellow'], ['yes', 'no']]","['yes', 'ceramic tile', 'yes', 'geometric shapes', 'yes', 'blue and white', 'yes']"
496,a tightly woven pattern of indigo and cream threads,"['is this a pattern?', 'what type of object is this?', 'are there threads?', 'what type of object is this?', 'is the pattern woven?', 'is the pattern indigo and cream?', 'what color is the pattern?', 'is the pattern tightly woven?', 'is the pattern tightly or loosely woven?']","[['yes', 'no'], ['pattern', 'picture', 'painting', 'drawing'], ['yes', 'no'], ['threads', 'string', 'wire', 'rope'], ['yes', 'no'], ['yes', 'no'], ['indigo and cream', 'pure blue and pure white', 'blue and white', 'red and blue'], ['yes', 'no'], ['tightly', 'loosely', 'carefully', 'carelessly']]","['yes', 'pattern', 'yes', 'threads', 'yes', 'yes', 'indigo and cream', 'yes', 'tightly']"
497,A striped balloon floating in the sky,"['is this a balloon?', 'what type of object is this?', 'is this the sky?', 'what type of place is this?', 'is the balloon floating?', 'what is the balloon doing?', 'is the balloon striped?', 'what color is the balloon?']","[['yes', 'no'], ['balloon', 'plane', 'helicopter', 'blimp'], ['yes', 'no'], ['sky', 'park', 'forest', 'mountain'], ['yes', 'no'], ['floating', 'flying', 'swimming', 'running'], ['yes', 'no'], ['striped', 'red', 'blue', 'yellow']]","['yes', 'balloon', 'yes', 'sky', 'yes', 'floating', 'yes', 'striped']"
498,Navy blue cargo shorts with large pockets and a drawstring waist.,"['are these cargo shorts?', 'what type of clothing is this?', 'are there pockets?', 'what are on the cargo shorts?', 'is there a waist?', 'what is on the cargo shorts?', 'are the cargo shorts navy blue?', 'what color are the cargo shorts?', 'are the pockets large?', 'are the pockets large or small?', 'is there a drawstring?']","[['yes', 'no'], ['cargo shorts', 'jeans', 'pants', 'skirt'], ['yes', 'no'], ['pockets', 'buttons', 'zips', 'belts'], ['yes', 'no'], ['waist', 'buttons', 'zips', 'belts'], ['yes', 'no'], ['navy blue', 'black', 'white', 'red'], ['yes', 'no'], ['large', 'small', 'medium', 'tiny'], ['yes', 'no']]","['yes', 'cargo shorts', 'yes', 'pockets', 'yes', 'waist', 'yes', 'navy blue', 'yes', 'large', 'yes']"
499,A stylised illustration of a rocket launching against a starry sky.,"['is this a rocket?', 'what type of vehicle is this?', 'is this a sky?', 'what type of place is this?', 'is the rocket launching?', 'what is the rocket doing?', 'is this a stylised illustration?', 'is the sky starry?', 'is the sky starry or cloudy?']","[['yes', 'no'], ['rocket', 'car', 'motorcycle', 'bus'], ['yes', 'no'], ['sky', 'beach', 'forest', 'mountain'], ['yes', 'no'], ['launching', 'landing', 'flying', 'crashing'], ['yes', 'no'], ['yes', 'no'], ['starry', 'cloudy', 'sunny', 'rainy']]","['yes', 'rocket', 'yes', 'sky', 'yes', 'launching', 'yes', 'yes', 'starry']"
500,crimson circles overlapping gold squares,"['are there circles?', 'what shape is this?', 'are there squares?', 'what shape is this?', 'are the circles overlapping the squares?', 'are the circles crimson?', 'what color are the circles?', 'are the squares gold?', 'what color are the squares?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['crimson', 'gold', 'silver', 'bronze'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper']]","['yes', 'circles', 'yes', 'squares', 'yes', 'yes', 'crimson', 'yes', 'gold']"
501,A cozy fireplace with a roaring fire and logs.,"['is this a fireplace?', 'what type of appliance is this?', 'is there a fire?', 'what is in the fireplace?', 'are there logs?', 'what is in the fireplace?', 'is the fire roaring?', 'what is the fire doing?', 'is this a cozy fireplace?', 'is this a cozy or an uncozy fireplace?']","[['yes', 'no'], ['fireplace', 'stove', 'oven', 'microwave'], ['yes', 'no'], ['fire', 'smoke', 'water', 'logs'], ['yes', 'no'], ['logs', 'branches', 'sticks', 'leaves'], ['yes', 'no'], ['roaring', 'burning', 'smoking', 'smoldering'], ['yes', 'no'], ['cozy', 'uncozy', 'warm', 'cold']]","['yes', 'fireplace', 'yes', 'fire', 'yes', 'logs', 'yes', 'roaring', 'yes', 'cozy']"
502,emerald green leaves with a frosted texture,"['are there leaves?', 'what type of plant is this?', 'are the leaves emerald green?', 'what color are the leaves?', 'does the leaves have a frosted texture?', 'does the leaves have a frosted texture or a smooth texture?']","[['yes', 'no'], ['leaves', 'branches', 'roots', 'flowers'], ['yes', 'no'], ['emerald green', 'green', 'red', 'blue'], ['yes', 'no'], ['frosted texture', 'smooth texture', 'rough texture', 'bumpy texture']]","['yes', 'leaves', 'yes', 'emerald green', 'yes', 'frosted texture']"
503,an ornate gold picture frame with floral carvings,"['is this a picture frame?', 'what type of object is this?', 'are there floral carvings?', 'what type of carvings are these?', 'is the picture frame gold?', 'what color is the picture frame?', 'is the picture frame ornate?', 'is the picture frame ornate or plain?']","[['yes', 'no'], ['picture frame', 'mirror', 'clock', 'vase'], ['yes', 'no'], ['floral', 'animal', 'human', 'geometric'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['ornate', 'plain', 'simple', 'complex']]","['yes', 'picture frame', 'yes', 'floral', 'yes', 'gold', 'yes', 'ornate']"
504,A simple yellow sun against a light blue sky.,"['is this a sun?', 'what is in the sky?', 'is this a sky?', 'what type of place is this?', 'is the sun yellow?', 'what color is the sun?', 'is the sky light blue?', 'what color is the sky?', 'is the sun simple?', 'is the sun simple or complex?']","[['yes', 'no'], ['sun', 'moon', 'star', 'cloud'], ['yes', 'no'], ['sky', 'beach', 'forest', 'mountain'], ['yes', 'no'], ['yellow', 'red', 'blue', 'green'], ['yes', 'no'], ['light blue', 'dark blue', 'red', 'green'], ['yes', 'no'], ['simple', 'complex', 'abstract', 'realistic']]","['yes', 'sun', 'yes', 'sky', 'yes', 'yellow', 'yes', 'light blue', 'yes', 'simple']"
505,A stack of three colorful books.,"['are there books?', 'what type of object is this?', 'are the books colorful?', 'what color are the books?', 'are there three books?', 'how many books are there?', 'is this a stack of books?', 'is this a stack or a pile of books?']","[['yes', 'no'], ['books', 'magazines', 'newspapers', 'pamphlets'], ['yes', 'no'], ['colorful', 'black and white', 'red and blue', 'yellow and green'], ['yes', 'no'], ['1', '2', '3', '4'], ['yes', 'no'], ['stack', 'pile', 'heap', 'mound']]","['yes', 'books', 'yes', 'colorful', 'yes', '3', 'yes', 'stack']"
506,blue and white silk scarf with a floral print,"['is this a silk scarf?', 'what type of cloth is this?', 'is there a floral print on the scarf?', 'what is on the scarf?', 'is the scarf blue and white?', 'what color is the scarf?']","[['yes', 'no'], ['silk scarf', 'cotton scarf', 'wool scarf', 'leather scarf'], ['yes', 'no'], ['floral print', 'animal print', 'human print', 'bird print'], ['yes', 'no'], ['blue and white', 'red and white', 'blue and yellow', 'red and yellow']]","['yes', 'silk scarf', 'yes', 'floral print', 'yes', 'blue and white']"
507,A single green leaf with prominent veins.,"['is this a leaf?', 'what type of plant is this?', 'is the leaf green?', 'what color is the leaf?', 'is there a single leaf?', 'how many leaves are there?', 'are the veins prominent?', 'are the veins prominent or faint?']","[['yes', 'no'], ['leaf', 'flower', 'branch', 'root'], ['yes', 'no'], ['green', 'red', 'yellow', 'blue'], ['yes', 'no'], ['1', '2', '3', '4'], ['yes', 'no'], ['prominent', 'faint', 'dense', 'sparse']]","['yes', 'leaf', 'yes', 'green', 'yes', '1', 'yes', 'prominent']"
508,vertical gradient stripes transitioning from teal to gold,"['are there gradient stripes?', 'what type of stripes are these?', 'are the stripes teal?', 'what color are the stripes?', 'are the stripes gold?', 'what color are the stripes?', 'are the stripes vertical?', 'are the stripes vertical or horizontal?']","[['yes', 'no'], ['gradient stripes', 'horizontal stripes', 'vertical stripes', 'diagonal stripes'], ['yes', 'no'], ['teal', 'blue', 'green', 'red'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['vertical', 'horizontal', 'diagonal', 'curved']]","['yes', 'gradient stripes', 'yes', 'teal', 'yes', 'gold', 'yes', 'vertical']"
509,Cobalt blue circles on a gradient of yellow to orange.,"['are there circles?', 'what shape is this?', 'is there a gradient?', 'what is this?', 'are the circles cobalt blue?', 'what color are the circles?', 'is the gradient yellow to orange?', 'what color is the gradient?', 'is the gradient yellow to orange?', 'what color is the gradient?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['gradient', 'pattern', 'stripe', 'line'], ['yes', 'no'], ['cobalt blue', 'yellow', 'orange', 'green'], ['yes', 'no'], ['yellow', 'orange', 'red', 'blue'], ['yes', 'no'], ['orange', 'red', 'blue', 'green']]","['yes', 'circles', 'yes', 'gradient', 'yes', 'cobalt blue', 'yes', 'yellow', 'yes', 'orange']"
510,Floating geometric shapes in a gradient sky.,"['are there floating geometric shapes?', 'what type of shapes are these?', 'is this a sky?', 'what type of place is this?', 'are the shapes floating?', 'what are the shapes doing?', 'is the sky gradient?', 'what color is the sky?', 'are the shapes geometric?', 'are the shapes geometric or organic?']","[['yes', 'no'], ['geometric shapes', 'animal shapes', 'human shapes', 'plant shapes'], ['yes', 'no'], ['sky', 'beach', 'forest', 'mountain'], ['yes', 'no'], ['floating', 'flying', 'swimming', 'running'], ['yes', 'no'], ['gradient', 'blue', 'red', 'yellow'], ['yes', 'no'], ['geometric', 'organic', 'abstract', 'abstract']]","['yes', 'geometric shapes', 'yes', 'sky', 'yes', 'floating', 'yes', 'gradient', 'yes', 'geometric']"
511,interlocking green hexagons forming a honeycomb pattern,"['are there interlocking green hexagons?', 'what type of shape is this?', 'is there a honeycomb pattern?', 'what type of pattern is this?', 'are the interlocking green hexagons forming a honeycomb pattern?', 'are the hexagons green?', 'what color are the hexagons?']","[['yes', 'no'], ['interlocking green hexagons', 'interlocking brown squares', 'interlocking red circles', 'interlocking blue triangles'], ['yes', 'no'], ['honeycomb pattern', 'checkerboard pattern', 'stripes pattern', 'spots pattern'], ['yes', 'no'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow']]","['yes', 'interlocking green hexagons', 'yes', 'honeycomb pattern', 'yes', 'yes', 'green']"
512,"Thin, wavy lines of various shades of brown on a cream background.","['are there lines on the background?', 'what type of lines are on the background?', 'are there shades of brown on the background?', 'what type of colors are on the background?', 'is there a background?', 'what type of object is this?', 'are there brown shades on the background?', 'what color are the shades?', 'is the background cream?', 'what color is the background?', 'are the lines thin?', 'are the lines thin or thick?']","[['yes', 'no'], ['lines', 'squares', 'circles', 'triangles'], ['yes', 'no'], ['shades', 'hues', 'tints', 'tones'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['brown', 'black', 'white', 'yellow'], ['yes', 'no'], ['cream', 'white', 'black', 'red'], ['yes', 'no'], ['thin', 'thick', 'wide', 'narrow']]","['yes', 'lines', 'yes', 'shades', 'yes', 'background', 'yes', 'brown', 'yes', 'cream', 'yes', 'thin']"
513,A rustic wooden table with metal legs.,"['is this a table?', 'what type of furniture is this?', 'are there legs?', 'what is supporting the table?', 'is the table rustic?', 'what color is the table?', 'are the legs metal?', 'what is the material of the legs?', 'is the table wooden?', 'what is the material of the table?']","[['yes', 'no'], ['table', 'chair', 'sofa', 'bed'], ['yes', 'no'], ['legs', 'arms', 'feet', 'hands'], ['yes', 'no'], ['rustic', 'black', 'white', 'red'], ['yes', 'no'], ['metal', 'wood', 'plastic', 'glass'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass']]","['yes', 'table', 'yes', 'legs', 'yes', 'rustic', 'yes', 'metal', 'yes', 'wooden']"
514,a simple black outline of a house,"['is this a house?', 'what type of place is this?', 'is the house black?', 'what color is the house?', 'is this a simple black outline of a house?', 'is this a simple black outline of a house?', 'is this a simple or a complex black outline of a house?']","[['yes', 'no'], ['house', 'apartment', 'office', 'school'], ['yes', 'no'], ['black', 'white', 'red', 'blue'], ['yes', 'no'], ['yes', 'no'], ['simple', 'complex', 'irregular', 'irregular']]","['yes', 'house', 'yes', 'black', 'yes', 'yes', 'simple']"
515,Cobalt blue cargo pants with large side pockets and visible stitching.,"['are these cargo pants?', 'what type of pants are these?', 'are there side pockets?', 'what type of pockets are these?', 'is there stitching?', 'what is on the pants?', 'are the pants cobalt blue?', 'what color are the pants?', 'are the side pockets large?', 'are the side pockets large or small?']","[['yes', 'no'], ['cargo pants', 'dress pants', 'jeans', 'shorts'], ['yes', 'no'], ['side pockets', 'back pockets', 'front pockets', 'waist pockets'], ['yes', 'no'], ['stitching', 'buttons', 'zippers', 'patches'], ['yes', 'no'], ['cobalt blue', 'black', 'white', 'yellow'], ['yes', 'no'], ['large', 'small', 'medium', 'tiny']]","['yes', 'cargo pants', 'yes', 'side pockets', 'yes', 'stitching', 'yes', 'cobalt blue', 'yes', 'large']"
516,A rough slate wall with moss growing in cracks,"['is this a slate wall?', 'what type of wall is this?', 'is there moss growing in the cracks?', 'what is growing in the cracks?', 'are there cracks in the wall?', 'is the moss growing in the cracks?', 'is the wall rough?', 'is the wall rough or smooth?']","[['yes', 'no'], ['slate wall', 'brick wall', 'wood wall', 'glass wall'], ['yes', 'no'], ['moss', 'grass', 'flowers', 'trees'], ['yes', 'no'], ['yes', 'no'], ['yes', 'no'], ['rough', 'smooth', 'bumpy', 'flat']]","['yes', 'slate wall', 'yes', 'moss', 'yes', 'yes', 'yes', 'rough']"
517,Navy blue spirals radiating from a central point,"['are there spirals radiating from a central point?', 'what type of pattern is this?', 'is there a central point?', 'what is in the center of the pattern?', 'are the spirals radiating from a central point?', 'are the spirals navy blue?', 'what color are the spirals?']","[['yes', 'no'], ['spirals', 'stripes', 'dots', 'lines'], ['yes', 'no'], ['central point', 'edge', 'corner', 'end'], ['yes', 'no'], ['yes', 'no'], ['navy blue', 'black', 'white', 'yellow']]","['yes', 'spirals', 'yes', 'central point', 'yes', 'yes', 'navy blue']"
518,A silver key with intricate carvings,"['is this a key?', 'what type of object is this?', 'is the key silver?', 'what color is the key?', 'are the carvings intricate?', 'are the carvings intricate or simple?']","[['yes', 'no'], ['key', 'door', 'window', 'lock'], ['yes', 'no'], ['silver', 'gold', 'bronze', 'copper'], ['yes', 'no'], ['intricate', 'simple', 'complex', 'elaborate']]","['yes', 'key', 'yes', 'silver', 'yes', 'intricate']"
519,a brown wooden table with metal legs,"['is this a table?', 'what type of furniture is this?', 'are there legs on the table?', 'what is on the table?', 'is the table brown?', 'what color is the table?', 'is the table wooden?', 'what is the material of the table?', 'are the legs metal?', 'what is the material of the legs?']","[['yes', 'no'], ['table', 'chair', 'sofa', 'bed'], ['yes', 'no'], ['legs', 'arms', 'feet', 'hands'], ['yes', 'no'], ['brown', 'black', 'white', 'yellow'], ['yes', 'no'], ['wooden', 'metal', 'plastic', 'glass'], ['yes', 'no'], ['metal', 'wood', 'plastic', 'glass']]","['yes', 'table', 'yes', 'legs', 'yes', 'brown', 'yes', 'wooden', 'yes', 'metal']"
520,vertical stripes of varying thickness in shades of grey,"['are there stripes?', 'what type of pattern is this?', 'is there thickness?', 'what is the thickness of the stripes?', 'are there shades of grey?', 'what color is the stripes?', 'are the stripes vertical?', 'are the stripes vertical or horizontal?']","[['yes', 'no'], ['stripes', 'dots', 'lines', 'checks'], ['yes', 'no'], ['thin', 'thick', 'medium', 'wide'], ['yes', 'no'], ['shades of grey', 'black', 'white', 'yellow'], ['yes', 'no'], ['vertical', 'horizontal', 'diagonal', 'curved']]","['yes', 'stripes', 'yes', 'thin', 'yes', 'shades of grey', 'yes', 'vertical']"
521,a vast desert landscape under an orange sunset,"['is this a desert landscape?', 'what type of place is this?', 'is this a sunset?', 'what type of event is this?', 'is the sunset orange?', 'what color is the sunset?', 'is the desert landscape vast?', 'is the desert landscape vast or small?', 'is the desert landscape under the sunset?', 'is the desert landscape under or next to the sunset?']","[['yes', 'no'], ['desert landscape', 'forest', 'mountain', 'beach'], ['yes', 'no'], ['sunset', 'sunrise', 'moonrise', 'moonset'], ['yes', 'no'], ['orange', 'red', 'yellow', 'green'], ['yes', 'no'], ['vast', 'small', 'medium', 'tiny'], ['yes', 'no'], ['under', 'next to', 'behind', 'in front of']]","['yes', 'desert landscape', 'yes', 'sunset', 'yes', 'orange', 'yes', 'vast', 'yes', 'under']"
522,Overlapping magenta squares fading into a white background.,"['are there squares?', 'what shape is this?', 'is there a background?', 'what is in the background?', 'are the squares fading?', 'are the squares magenta?', 'what color are the squares?', 'is the background white?', 'what color is the background?', 'are the squares overlapping?']","[['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['background', 'foreground', 'middle ground', 'sky'], ['yes', 'no'], ['yes', 'no'], ['magenta', 'red', 'blue', 'green'], ['yes', 'no'], ['white', 'black', 'gray', 'tan'], ['yes', 'no']]","['yes', 'squares', 'yes', 'background', 'yes', 'yes', 'magenta', 'yes', 'white', 'yes']"
523,a scarlet octahedron dissolving into smoke,"['is this an octahedron?', 'what shape is this?', 'is there smoke?', 'what is the octahedron dissolving into?', 'is the octahedron dissolving into smoke?', 'is the octahedron scarlet?', 'what color is the octahedron?']","[['yes', 'no'], ['octahedron', 'sphere', 'cube', 'pyramid'], ['yes', 'no'], ['smoke', 'steam', 'fog', 'mist'], ['yes', 'no'], ['yes', 'no'], ['scarlet', 'black', 'white', 'yellow']]","['yes', 'octahedron', 'yes', 'smoke', 'yes', 'yes', 'scarlet']"
524,Azure waves cresting on a sandy beach,"['are there waves on the beach?', 'what type of waves are on the beach?', 'is this a beach?', 'what type of place is this?', 'are the waves cresting?', 'are the waves azure?', 'what color are the waves?', 'is the beach sandy?', 'is the beach sandy or rocky?']","[['yes', 'no'], ['waves', 'wind', 'rain', 'snow'], ['yes', 'no'], ['beach', 'park', 'forest', 'mountain'], ['yes', 'no'], ['yes', 'no'], ['azure', 'red', 'yellow', 'green'], ['yes', 'no'], ['sandy', 'rocky', 'muddy', 'snowy']]","['yes', 'waves', 'yes', 'beach', 'yes', 'yes', 'azure', 'yes', 'sandy']"
525,A striped black and yellow scarf.,"['is this a scarf?', 'what type of clothing is this?', 'is the scarf black and yellow?', 'what color is the scarf?', 'is the scarf striped?', 'is the scarf striped or plain?']","[['yes', 'no'], ['scarf', 'hat', 'glove', 'sock'], ['yes', 'no'], ['black and yellow', 'pure black', 'black and red', 'black and blue'], ['yes', 'no'], ['striped', 'plain', 'dotted', 'checked']]","['yes', 'scarf', 'yes', 'black and yellow', 'yes', 'striped']"
526,Stack of vintage books tied with a faded ribbon on a wooden table.,"['is there a stack of vintage books?', 'what type of object is this?', 'are there vintage books?', 'what type of books are these?', 'is there a ribbon?', 'what type of object is this?', 'is there a wooden table?', 'what type of furniture is this?', 'are the vintage books tied with a ribbon?', 'is the ribbon faded?', 'what color is the ribbon?']","[['yes', 'no'], ['stack', 'pile', 'heap', 'mound'], ['yes', 'no'], ['vintage books', 'modern books', 'textbooks', 'comics'], ['yes', 'no'], ['ribbon', 'string', 'rope', 'belt'], ['yes', 'no'], ['wooden table', 'metal table', 'plastic table', 'glass table'], ['yes', 'no'], ['yes', 'no'], ['faded', 'bright', 'dark', 'light']]","['yes', 'stack', 'yes', 'vintage books', 'yes', 'ribbon', 'yes', 'wooden table', 'yes', 'yes', 'faded']"
527,bronze rings connected by silver chains,"['are there bronze rings?', 'what type of object is this?', 'are there silver chains?', 'what type of object is this?', 'are the rings connected by chains?', 'what is the relationship between the rings and the chains?', 'are the rings bronze?', 'what color are the rings?', 'are the chains silver?', 'what color are the chains?']","[['yes', 'no'], ['rings', 'necklaces', 'bracelets', 'earrings'], ['yes', 'no'], ['chains', 'cords', 'ropes', 'belts'], ['yes', 'no'], ['connected', 'separated', 'broken', 'unlinked'], ['yes', 'no'], ['bronze', 'silver', 'gold', 'copper'], ['yes', 'no'], ['silver', 'bronze', 'gold', 'copper']]","['yes', 'rings', 'yes', 'chains', 'yes', 'connected', 'yes', 'bronze', 'yes', 'silver']"
528,crimson circles overlapping sapphire squares,"['are there circles?', 'what shape is this?', 'are there squares?', 'what shape is this?', 'are the circles overlapping the squares?', 'are the circles crimson?', 'what color are the circles?', 'are the squares sapphire?', 'what color are the squares?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['squares', 'circles', 'triangles', 'rectangles'], ['yes', 'no'], ['yes', 'no'], ['crimson', 'sapphire', 'emerald', 'ruby'], ['yes', 'no'], ['sapphire', 'emerald', 'ruby', 'topaz']]","['yes', 'circles', 'yes', 'squares', 'yes', 'yes', 'crimson', 'yes', 'sapphire']"
529,a shimmering golden key,"['is this a key?', 'what type of object is this?', 'is the key golden?', 'what color is the key?', 'is the key shimmering?', 'is the key shimmering or not shimmering?']","[['yes', 'no'], ['key', 'door', 'lock', 'handle'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['shimmering', 'not shimmering', 'glowing', 'sparkling']]","['yes', 'key', 'yes', 'golden', 'yes', 'shimmering']"
530,A vibrant green frog perched on a lily pad in a pond.,"['is this a frog?', 'what animal is in the picture?', 'is there a lily pad?', 'what type of plant is this?', 'is this a pond?', 'what type of place is this?', 'is the frog perched on the lily pad?', 'is the frog green?', 'what color is the frog?', 'is the frog vibrant?', 'is the frog vibrant or dull?']","[['yes', 'no'], ['frog', 'dog', 'cat', 'bird'], ['yes', 'no'], ['lily pad', 'flower', 'bush', 'grass'], ['yes', 'no'], ['pond', 'lake', 'river', 'ocean'], ['yes', 'no'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['vibrant', 'dull', 'bright', 'dark']]","['yes', 'frog', 'yes', 'lily pad', 'yes', 'pond', 'yes', 'yes', 'green', 'yes', 'vibrant']"
531,Overlapping transparent cyan ovals with a thick black border.,"['are there ovals?', 'what shape is this?', 'are the ovals overlapping?', 'what are the ovals doing?', 'are the ovals cyan?', 'what color are the ovals?', 'is the border black?', 'what color is the border?', 'is the border thick?', 'is the border thick or thin?', 'are the ovals transparent?']","[['yes', 'no'], ['ovals', 'circles', 'squares', 'triangles'], ['yes', 'no'], ['overlapping', 'touching', 'separating', 'cutting'], ['yes', 'no'], ['cyan', 'red', 'yellow', 'green'], ['yes', 'no'], ['black', 'red', 'yellow', 'green'], ['yes', 'no'], ['thick', 'thin', 'medium', 'wide'], ['yes', 'no']]","['yes', 'ovals', 'yes', 'overlapping', 'yes', 'cyan', 'yes', 'black', 'yes', 'thick', 'yes']"
532,a tessellated pattern of overlapping concentric circles in shades of gray,"['is this a tessellated pattern?', 'is this a tessellated pattern or a random pattern?', 'are the concentric circles overlapping?', 'are the concentric circles overlapping or touching?', 'are the concentric circles concentric circles?', 'are the concentric circles concentric circles or regular circles?', 'are the circles shades of gray?', 'what color are the concentric circles?']","[['yes', 'no'], ['tessellated pattern', 'random pattern', 'repeating pattern', 'geometric pattern'], ['yes', 'no'], ['overlapping', 'touching', 'intersecting', 'separating'], ['yes', 'no'], ['concentric circles', 'regular circles', 'irregular circles', 'ovals'], ['yes', 'no'], ['shades of gray', 'black', 'white', 'yellow']]","['yes', 'tessellated pattern', 'yes', 'overlapping', 'yes', 'concentric circles', 'yes', 'shades of gray']"
533,a velvet crimson sphere,"['is this a sphere?', 'what type of shape is this?', 'is the sphere crimson?', 'what color is the sphere?', 'is the sphere velvet?', 'what is the material of the sphere?']","[['yes', 'no'], ['sphere', 'cube', 'cylinder', 'cone'], ['yes', 'no'], ['crimson', 'black', 'white', 'yellow'], ['yes', 'no'], ['velvet', 'silk', 'cotton', 'wool']]","['yes', 'sphere', 'yes', 'crimson', 'yes', 'velvet']"
534,A simple white cloud shape against a sky blue rectangle.,"['is this a cloud shape?', 'what shape is this?', 'is this a sky blue rectangle?', 'what shape is this?', 'is the cloud shape white?', 'what color is the cloud shape?', 'is the sky blue rectangle sky blue?', 'what color is the sky blue rectangle?', 'is the cloud shape simple?', 'is the cloud shape simple or complex?']","[['yes', 'no'], ['cloud shape', 'circle', 'square', 'triangle'], ['yes', 'no'], ['sky blue rectangle', 'sky blue square', 'sky blue circle', 'sky blue triangle'], ['yes', 'no'], ['white', 'black', 'red', 'blue'], ['yes', 'no'], ['sky blue', 'red', 'yellow', 'green'], ['yes', 'no'], ['simple', 'complex', 'elaborate', 'minimal']]","['yes', 'cloud shape', 'yes', 'sky blue rectangle', 'yes', 'white', 'yes', 'sky blue', 'yes', 'simple']"
535,crimson circles scattered on a cream canvas,"['are there circles scattered on the canvas?', 'what type of shape is this?', 'is this a canvas?', 'what type of material is this?', 'are the circles scattered on the canvas?', 'what are the circles doing on the canvas?', 'are the circles crimson?', 'what color are the circles?', 'is the canvas cream?', 'what color is the canvas?']","[['yes', 'no'], ['circles', 'squares', 'triangles', 'rectangles'], ['yes', 'no'], ['canvas', 'paper', 'wood', 'glass'], ['yes', 'no'], ['scattered', 'grouped', 'arranged', 'stacked'], ['yes', 'no'], ['crimson', 'red', 'blue', 'green'], ['yes', 'no'], ['cream', 'white', 'black', 'brown']]","['yes', 'circles', 'yes', 'canvas', 'yes', 'scattered', 'yes', 'crimson', 'yes', 'cream']"
536,A vibrant fractal pattern in shades of green and gold.,"['is this a vibrant fractal pattern?', 'is this a vibrant or a dull fractal pattern?', 'is this a fractal pattern?', 'is this a fractal pattern or a regular pattern?', 'is this a green fractal pattern?', 'what color is this fractal pattern?', 'is this a gold fractal pattern?', 'what color is this fractal pattern?']","[['yes', 'no'], ['vibrant', 'dull', 'bright', 'dark'], ['yes', 'no'], ['fractal pattern', 'regular pattern', 'irregular pattern', 'random pattern'], ['yes', 'no'], ['green', 'red', 'blue', 'yellow'], ['yes', 'no'], ['gold', 'silver', 'bronze', 'copper']]","['yes', 'vibrant', 'yes', 'fractal pattern', 'yes', 'green', 'yes', 'gold']"
537,golden sand dunes under a setting sun,"['are there sand dunes?', 'what type of landscape is this?', 'is there a sun?', 'what is in the sky?', 'are the sand dunes golden?', 'what color are the sand dunes?', 'is the sun setting?', 'is the sun setting or rising?']","[['yes', 'no'], ['sand dunes', 'mountain', 'forest', 'beach'], ['yes', 'no'], ['sun', 'moon', 'star', 'cloud'], ['yes', 'no'], ['golden', 'silver', 'bronze', 'copper'], ['yes', 'no'], ['setting', 'rising', 'shining', 'darkness']]","['yes', 'sand dunes', 'yes', 'sun', 'yes', 'golden', 'yes', 'setting']"
